0, 0.028598, 0.397449
0, 0.083910, 0.580674
0, 0.139674, 0.112055
0, 0.153580, 0.154530
0, 0.187016, 0.572701
1, 0.195235, 0.198520
1, 0.236410, 0.824749
1, 0.245688, 0.839079
1, 0.258766, 0.553332
1, 0.268611, 0.206321
1, 0.326135, 0.566741
1, 0.333293, 0.751502
1, 0.371220, 0.345094
2, 0.450541, 0.134022
2, 0.456047, 0.222481
2, 0.499461, 0.431953
2, 0.570156, 0.846389
2, 0.609602, 0.005615
2, 0.631468, 0.432213
2, 0.654767, 0.635179
3, 0.655512, 0.071563
3, 0.673052, 0.960836
3, 0.699282, 0.192252
3, 0.719805, 0.033212
3, 0.724509, 0.732332
3, 0.734831, 0.935323
3, 0.739200, 0.048308
3, 0.768944, 0.109904
3, 0.857790, 0.826621
3, 0.906036, 0.237550
3, 0.952864, 0.418373
3, 0.967098, 0.818114
