0.040115, 0.396516
0.041198, 0.886227
0.106999, 0.667474
0.107016, 0.809829
0.110024, 0.167448
0.226453, 0.270530
0.236805, 0.872925
0.248586, 0.592342
0.269429, 0.450233
0.304325, 0.406972
0.315352, 0.473372
0.333637, 0.991094
0.358088, 0.338125
0.394658, 0.217396
0.434026, 0.344478
0.439128, 0.390696
0.477325, 0.965279
0.494247, 0.955817
0.503642, 0.886048
0.518293, 0.342942
0.531821, 0.803078
0.611711, 0.119999
0.627187, 0.725280
0.679716, 0.069021
0.686348, 0.300289
0.690396, 0.364279
0.715452, 0.590645
0.728642, 0.860237
0.752630, 0.360712
0.799402, 0.029071
0.819186, 0.304621
0.990056, 0.183249
